"REF_DATE","GEO","DGUID","Statistic","Household tenure","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Total expenditure","Dollars","81","units","0","v54530454","1.1.1.1","72075","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Total current consumption","Dollars","81","units","0","v54530455","1.1.1.2","54013","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Food expenditures","Dollars","81","units","0","v54530456","1.1.1.3","7850","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Food purchased from stores","Dollars","81","units","0","v54530457","1.1.1.4","5709","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Bakery products","Dollars","81","units","0","v64476200","1.1.1.43","581","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Cereal grains and cereal products","Dollars","81","units","0","v64476201","1.1.1.44","359","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Fruit, fruit preparations and nuts","Dollars","81","units","0","v64476202","1.1.1.45","713","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Vegetables and vegetable preparations","Dollars","81","units","0","v64476203","1.1.1.46","616","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Dairy products and eggs","Dollars","81","units","0","v64476204","1.1.1.47","899","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Meat","Dollars","81","units","0","v64476205","1.1.1.48","1027","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Fish and seafood","Dollars","81","units","0","v64476206","1.1.1.49","199","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Non-alcoholic beverages and other food products","Dollars","81","units","0","v64476207","1.1.1.50","1315","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Food purchased from restaurants","Dollars","81","units","0","v54530458","1.1.1.5","2141","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Restaurant meals","Dollars","81","units","0","v64476208","1.1.1.51","1885","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Restaurant snacks and beverages","Dollars","81","units","0","v64476209","1.1.1.52","256","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Shelter","Dollars","81","units","0","v54530459","1.1.1.6","15020","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Principal accommodation","Dollars","81","units","0","v54530460","1.1.1.7","13586","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Rented living quarters","Dollars","81","units","0","v54530461","1.1.1.8","3088","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Rent","Dollars","81","units","0","v64476210","1.1.1.53","3001","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Tenants' repairs and improvements","Dollars","81","units","0","v64476211","1.1.1.54","33","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Tenants' insurance premiums","Dollars","81","units","0","v64476212","1.1.1.55","46","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Parking at rented living quarters (excluding amounts reported with rent)","Dollars","81","units","0","v64476213","1.1.1.56","8","","","","0"
